     ,FARECARD USAGE BY STATION FOR DATE RANGE: ,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                          
     ,03/02/2019-03/08/2019,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                                                               
REMOTE, STATION,FF,SEN/DIS, 7-D AFAS UNL,30-D AFAS/RMF UNL,JOINT RR TKT,7-D UNL,30-D UNL,14-D RFM UNL,1-D UNL,14-D UNL,7D-XBUS PASS,TCMC,RF 2 TRIP,RR UNL NO TRADE,TCMC ANNUAL MC,MR EZPAY EXP,MR EZPAY UNL,PATH 2-T,AIRTRAIN FF,AIRTRAIN 30-D,AIRTRAIN 10-T,AIRTRAIN MTHLY,STUDENTS,NICE 2-T,CUNY-120,CUNY-60,                                                                   
R001,WHITEHALL STREET              ,00058923,00002721,00000424,00001110,00000291,00028417,00036507,00000000,00000000,00000001,00000448,00001020,00000662,00000382,00006514,00002299,00000826,00000000,00001436,00000000,00000000,00000000,00003145,00000000,00000654,00000000,                                                                                                    
R003,CYPRESS HILLS                 ,00002781,00000157,00000009,00000042,00000001,00002468,00001291,00000000,00000000,00000000,00000005,00000018,00000074,00000006,00000079,00000024,00000036,00000000,00000025,00000000,00000000,00000000,00000712,00000000,00000064,00000000,                                                                                                    
R004,75TH STREET & ELDERTS LANE    ,00007093,00000438,00000060,00000151,00000000,00004893,00003745,00000000,00000000,00000000,00000002,00000044,00000229,00000007,00000325,00000066,00000076,00000000,00000045,00000000,00000000,00000000,00002595,00000000,00000076,00000000,                                                                                                    
R005,85TH STREET & FOREST PKWAY    ,00007545,00000569,00000072,00000173,00000001,00004983,00004379,00000000,00000000,00000000,00000012,00000052,00000257,00000005,00000283,00000063,00000072,00000000,00000069,00000000,00000000,00000000,00001405,00000000,00000152,00000000,                                                                                                    
R006,WOODHAVEN BOULEVARD           ,00007622,00000521,00000084,00000201,00000004,00007004,00005021,00000000,00000000,00000000,00000010,00000054,00000234,00000013,00000373,00000077,00000079,00000000,00000075,00000000,00000000,00000000,00001784,00000000,00000146,00000000,                                                                                                    
R007,104TH STREET                  ,00006819,00000453,00000040,00000110,00000001,00004603,00003146,00000000,00000000,00000000,00000002,00000049,00000175,00000003,00000197,00000060,00000054,00000000,00000037,00000000,00000000,00000000,00001465,00000000,00000139,00000000,                                                                                                    
R009,121ST STREET                  ,00004671,00000298,00000035,00000145,00000010,00003676,00002336,00000000,00000000,00000000,00000004,00000043,00000162,00000000,00000136,00000067,00000026,00000000,00000048,00000000,00000000,00000000,00000744,00000000,00000076,00000000,                                                                                                    
R010,42ND STREET & 8TH AVENUE      ,00082277,00005210,00000482,00001126,00000115,00046660,00049969,00000000,00000000,00000000,00000525,00000844,00000954,00000107,00005334,00002353,00001413,00000000,00002807,00000000,00000000,00000000,00006723,00000000,00000453,00000000,                                                                                                    
R011,42ND STREET & 8TH AVENUE      ,00237772,00010855,00000702,00001818,00000094,00048373,00070333,00000000,00000000,00000000,00000354,00003029,00004583,00000067,00007011,00007797,00002145,00000000,00003464,00000000,00000000,00000000,00002646,00000000,00000401,00000000,                                                                                                    
R012,34TH STREET & 8TH AVENUE      ,00194105,00008739,00000695,00001522,00003420,00042291,00067316,00000000,00000000,00000000,00000326,00002248,00002703,00003980,00007477,00008827,00002143,00000000,00003651,00000000,00000000,00000000,00002830,00000000,00000507,00000000,                                                                                                    
R013,34TH STREET & 8TH AVENUE      ,00051642,00002329,00000207,00000664,00000829,00018761,00030434,00000000,00000000,00000000,00000232,00000908,00000470,00001305,00003842,00002322,00000896,00000000,00001274,00000000,00000000,00000000,00000971,00000000,00000234,00000000,                                                                                                    
R014,FULTON STREET                 ,00158512,00005227,00000426,00001029,00000870,00053849,00086515,00000000,00000000,00000000,00000608,00002807,00000876,00001304,00014152,00005481,00002601,00000000,00003075,00000000,00000000,00000000,00006054,00000000,00001867,00000000,                                                                                                    
R015,FIFTH AVENUE                  ,00074825,00003217,00000140,00000493,00000828,00017747,00033106,00000000,00000000,00000000,00000192,00002178,00000311,00001043,00005591,00004617,00001188,00000000,00001579,00000000,00000000,00000000,00000594,00000000,00000172,00000000,                                                                                                    
R016,LEXINGTON AVENUE              ,00018212,00000979,00000058,00000147,00000077,00005470,00011001,00000000,00000000,00000000,00000066,00000435,00000109,00000119,00001599,00000908,00000345,00000000,00000289,00000000,00000000,00000000,00000237,00000000,00000076,00000000,                                                                                                    
R017,LEXINGTON AVENUE              ,00093189,00005959,00000343,00001016,00000702,00025078,00054472,00000000,00000000,00000000,00000228,00002063,00000877,00000899,00007709,00004716,00001706,00000000,00001645,00000000,00000000,00000000,00003658,00000000,00000177,00000000,                                                                                                    
R018,ROOSEVELT AVE/JACKSON HTS     ,00081114,00007383,00001370,00003388,00000035,00069683,00093103,00000000,00000001,00000000,00000071,00000622,00002243,00000037,00006944,00001394,00001437,00000000,00001015,00000000,00000000,00000000,00008586,00000000,00001185,00000000,                                                                                                    
R019,179TH STREET & HILLSIDE AVE   ,00027853,00002011,00000435,00001036,00000010,00019050,00025237,00000000,00000000,00000000,00000030,00000594,00000760,00000005,00002709,00000584,00000282,00000000,00000179,00000000,00000000,00000000,00003431,00000000,00000565,00000000,                                                                                                    
R020,47-50 STREETS/ROCKEFELLER     ,00142625,00008802,00000500,00001510,00000651,00053678,00089066,00000000,00000000,00000000,00000501,00004012,00001278,00000660,00016623,00006289,00002844,00000000,00002568,00000000,00000000,00000000,00002341,00000000,00000405,00000000,                                                                                                    
